,original_text,disfluent_text,binary_label,token_tags
0,"总体说来，对孩子的关心是很不够的。
","恩总体说来呢，对孩子的关心呢是很不够的。
",D,"['D', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
1,"一般性在早上六点出去，要到晚上六点回来。
","一般性在早上六点出去，要到晚上六点回来。
",F,"['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
2,"问他到什么地方去哪玩，都不肯说的。
","问他到什么地方去哪玩呢，都不肯说的。
",D,"['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
3,"他越不肯说，我心里想恼火，基本上要打他的。
","所以说呢他越不肯说呢，我心里想恼火，基基本上呢要打他的。
",D,"['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F']"
4,"越打他，他越不肯说。
","那么越打他呢，他越不肯说。
",D,"['D', 'D', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
5,"所以是很不好的。
","所以呢这样呢是很不好的。
",D,"['F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
6,"现在孩子大了已经读初中了，我自己也反思了。
","现在呢孩子大了已经读初中了，我呢自己呢这个也思反思了。
",D,"['F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'D', 'D', 'D', 'F', 'D', 'F', 'F', 'F', 'F', 'F']"
7,"要怎么样跟他好好的沟通要谈谈心。
","就是说要要怎么样跟他好好的找他沟通呢要谈谈心。
",D,"['D', 'D', 'D', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F']"
8,"星期六星期天的时候，有空的时候，带他出去玩玩，到公园里面去玩，肯德基麦当劳吃一点东西。
","星期六星期天的时候呢，有空的时候呢，带他出去玩玩，到公园里面去玩，这个肯德基麦当劳那里吃一点东西。
",D,"['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
9,"带他进行一点感情上的投资，使他有什么心里话要对我说。
","这样的话呢，带他呢进行一点感情上的投资，使他呢有什么心里话呢要对我说。
",D,"['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F']"
