,original_text,disfluent_text,binary_label,token_tags
0,What do unstable isotope studies indicate?,What do petrologists no what do unstable isotope studies indicate?,D,"['F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']"
1,What is the basic unit of territorial division in Warsaw?,What is the second level of territorial division in Poland no make that the basic unit of territorial division in Warsaw?,D,"['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
2,Which genus lack tentacles and sheaths?,Juvenile platyctenids no wow Which genus lack tentacles and sheaths?,D,"['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
3,How long did Julia Butterfly Hill live near a nuclear-missile installation?,Did Julia Butterfly wait How long did Julia Butterfly Hill live near a nuclear-missile installation?,D,"['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
4,What is the name of the supposition that any number larger than 2 can be represented as the sum of two primes?,"What is the name of the number theory, or rather, the supposition that any number larger than 2 can be represented as the sum of two primes?",D,"['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
5,Which group sets the time agenda?,Who represents instead how about which group sets the time agenda?,D,"['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
6,"When three forces act on a point particle, what happens?","What geometric er when three forces act on a point particle, what happens?",D,"['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
7,What profession does Zbigniew Marek have?,What profession does Irena Bajerska no Zbigniew Marek have?,D,"['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F']"
8,What type of wages does mechanization and automation lead to?,What type of wages does equipment for labor no the mechanization and automation lead to?,D,"['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']"
9,What type of entrepreneurship leads to advancements in technology?,What type of impact or uh entrepreneurship leads to advancements in technology?,D,"['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
10,What does the highest level of the Vistula plateau contain?,Why does What does the highest level of the Vistula plateau contain?,D,"['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
11,What is the effect of beta decay?,What is the result of no no I mean what is the effect of beta decay?,D,"['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']"
12,What kind of organs do some sponges have?,What kind of organs do ctenophores or no make that do some sponges have?,D,"['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']"
13,How did the party overthrow the elected government in 1929?,How did the party overthrow the elected government in 1985 no i mean 1929?,D,"['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F']"
14,In what year did Fresno get its first pedestrian mall?,How no sorry in what year did Fresno get its first pedestrian mall?,D,"['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
15,Who were the main detractors of the humoral theory of immunity?,What are or actually who were the main detractors of the humoral theory of immunity?,D,"['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
16,What is one function that prime numbers have that 1 does not?,"Which theorem, oh wait, what is one function that prime numbers have that 1 does not?",D,"['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
17,What is another function that primes have that the number 15 does not?,What is a fundamental no is another function that primes have that the number 15 does not?,D,"['F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
18,Why do oceanic plates and mantle convection currents move in opposite directions?,When was um no why do oceanic plates and mantle convection currents move in opposite directions?,D,"['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
19,Below what levels were the projected sea levels in the 2001 IPCC projection?,Below what levels were the projected sea levels in the 2007 or no make that the 2001 IPCC projection?,D,"['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']"
20,Who disagrees with the timetable of business in the chamber?,Who sets the work agenda and allocates time in the chamber no not this I want to know who disagrees with the timetable of business in the chamber?,D,"['F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
21,Which building was vacated three times to allow for the meeting of the Church's General Assembly?,Which building was vacated three times to allow for the meeting of the General Assembly Hall or no rather of the Church's General Assembly?,D,"['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']"
22,What career does Joseph Stiglitz have?,"What skills, no, what career does Joseph Stiglitz have?",D,"['F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']"
23,What is another name for State Route 168?,What is another name for State Route 41 or no 168?,D,"['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F']"
24,What was written by Ghandi in 1819?,"What was written by Henry David Thoreau or sorry Ghandi in 1819? "","" What was referenced err I mean written by Ghandi in 1819?",D,"['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']"
25,Innate cells can act as mediators in the activation of what branch of the immune system?,What cells are the second arm of the innate immune system or rather Innate cells can act as mediators in the activation of what branch of the immune system?,D,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
26,What publication printed that the wealthiest 1% have more money than those in the bottom 99%?,What institution no um publication printed that the wealthiest 1% have more money than those in the bottom 99%?,D,"['F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
27,What is the name of the park in Atascadero?,What is the name of the park in Reedley er uh better Atascadero?,D,"['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F']"
28,When was the Masovian Duchy reincorporated into the Polish Crown?,When was the settlement which would become Warsaw established no not that but when was the Masovian Duchy reincorporated into the Polish Crown?,D,"['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
29,In what decade did the U of C affiliate with numerous national colleges?,In what decade did the Des Moines College or no make that the U of C affiliate with numerous national colleges?,D,"['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
30,How much do estimations of the population during the plague vary?,How much did the clergy no do estimations of the population during the plague vary?,D,"['F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
31,What is not a form of immunological memory?,Which is or no make that what is not a form of immunological memory?,D,"['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
32,In what month in 1349 did the second wave of the plague reach England?,In what month in 1347 no um 1349 did the second wave of the plague reach England?,D,"['F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
33,What increases entrepreneurship rates at the individual level?,How does no actually what increases entrepreneurship rates at the individual level?,D,"['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
34,What Chinese system did Kublai's government not compromise with?,What Chinese system did Mongols no the Kublai's government not compromise with?,D,"['F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
35,What question has not led to criticism?,What question has not led to consequences uh alternatively criticism?,D,"['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F']"
36,What is one general concept that applies to elements of commutative rings?,Which is or no make that what is one general concept that applies to elements of commutative rings?,D,"['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
37,What probiotic flora is found in unpasteurized yogurt?,Which or rather what probiotic flora is found in unpasteurized yogurt?,D,"['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
38,What is Circuit Switching?,What is  packet or uh Circuit Switching?,D,"['F', 'F', 'D', 'D', 'D', 'F', 'F', 'F']"
39,When did Warsaw become the capital of the Kingdom of Poland?,When is or actually tell me when did Warsaw become the capital of the Kingdom of Poland?,D,"['F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
40,What is the rarest cause of poor immune function in developing countries?,What occurs er what is the rarest cause of poor immune function in developing countries?,D,"['F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
41,What does poor academic achievement lead to according to critics?,What can non-profit trusts and societies do no no wait What does poor academic achievement lead to according to critics?,D,"['F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
42,What castle currently houses the Centre for Ujazdow Art?,What castle currently concerts er uh houses the Centre for Ujazdow Art?,D,"['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
43,What did the 2007 IPCC report suggest had been decreasing?,What did the 2001 er uh 2007 IPCC report suggest had been decreasing?,D,"['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']"
